symbol,root_symbol,margin_day,margin_initial,capital_1x,maint_1x,buffer_1x,initial_req,maint_req,buffer_req,trade_id,horizon_ms,open_ts_utc,close_ts_utc,open_side,qty,contract_multiplier,pred_value,open_exec_px,close_exec_px,open_mid_px,close_mid_px,pnl_db,pnl_calc,dd_dir_ok,dd_pct_move,dd_move_ok,dd_pnl_abs_diff,dd_pnl_ok,dd_status,dd_flags
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,0a134b75-01da-4d25-94f5-eb40a288b633,600000,8/10/26 13:36,8/10/26 13:46,BUY,1.0,50.0,0.001648193458095193,,7774.375,7776.375,7774.375,-100.0,-100.0,1,0.025719,1,0.0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,04ec3307-5988-4375-a7d0-46b7cf244336,600000,8/10/26 13:48,8/10/26 13:58,BUY,1.0,50.0,0.002904260531067848,,7780.625,7775.875,7780.625,237.5,237.5,1,0.061086,1,0.0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,12aa41ac-82d9-49f1-8542-080a13e513af,600000,8/10/26 13:52,8/10/26 14:02,SELL,1.0,50.0,-0.010548803955316544,,7783.625,7771.875,7783.625,-587.5,-587.5,1,0.151186,1,0.0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,3e7e244b-20f4-47df-b05b-6a336c787f09,600000,8/10/26 14:09,8/10/26 14:19,BUY,1.0,50.0,0.001695013139396906,,7786.875,7785.125,7786.875,87.5,87.5,1,0.022479,1,0.0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,7de2303b-41ff-41dd-b2ad-f87ab556e726,600000,8/10/26 14:13,8/10/26 14:23,BUY,1.0,50.0,0.0005461839027702808,,7787.875,7788.125,7787.875,-12.5,-12.5,1,0.003210,1,0.0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,f59b597b-f37d-4efd-9df2-04f04d4d9280,600000,8/10/26 14:31,8/10/26 14:41,BUY,1,50,0.001674884,,7791.375,7791.125,7791.375,12.5,12.5,1,0.003209,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,8e4f4ff3-a949-4520-a78c-b9a8fa92dfa9,600000,8/10/26 14:44,8/10/26 14:54,BUY,1,50,0.001330281,,7786.125,7792.375,7786.125,-312.5,-312.5,1,0.080207,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,53257.6,48996.99,56346.54,9dc64342-337c-43df-8e1d-6e0181d92210,600000,8/10/26 14:46,8/10/26 14:56,BUY,2,50,0.002693252,,7786.875,7795.625,7786.875,-875,-875,1,0.112242,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,26628.8,24498.5,28173.27,57a5b0ce-2fa2-4748-9864-149c22344331,600000,8/10/26 14:53,8/10/26 15:03,SELL,1,50,-0.011917776,,7783.125,7789.125,7783.125,300,300,1,0.07703,1,0,1,PASS,
ES,ES,500,26628.8,26628.8,24498.5,28173.27,79886.4,73495.49,84519.81,ac480891-166e-494e-9f20-0322863ae48f,600000,8/10/26 14:55,8/10/26 15:05,SELL,3,50,-0.028303947,,7783.875,7785.875,7783.875,300,300,1,0.025688,1,0,1,PASS,
